,Actual Classifcation,Predicted Classification,a,b,c
63,1.0,1,1.0706293706293706,-78.40216000000001,0.0
64,1.0,1,0.19230769230769232,61.20388,0.0
65,1.0,1,0.15034965034965037,-80.60194,0.0
66,1.0,1,2.488811188811189,-74.60254,0.0
67,1.0,1,1.2384615384615385,64.0036,0.0
68,1.0,1,2.041258741258741,22.60774,0.0
69,1.0,1,1.8034965034965036,25.80742,0.0
70,1.0,1,1.9573426573426573,54.60453999999999,0.0
71,1.0,1,2.404895104895105,-29.80702000000001,0.0
72,1.0,1,1.2496503496503497,46.805319999999995,0.0
73,1.0,1,0.26223776223776224,77.0023,0.0
74,1.0,1,0.6818181818181818,97.60024,0.0
75,1.0,1,1.8202797202797203,-2.0097999999999985,0.0
76,1.0,1,1.5853146853146853,0.40996,0.0
77,1.0,1,1.9685314685314685,-49.0051,0.0
78,1.0,1,0.5223776223776224,-1.0099000000000018,0.0
79,1.0,1,2.586713286713287,10.208979999999999,0.0
80,1.0,1,0.8776223776223776,-83.80162,0.0
81,1.0,5,0.9335664335664335,55.40445999999999,0.0
82,1.0,1,1.7447552447552448,-49.80502,0.0
83,1.0,1,0.43286713286713285,-42.0058,0.0
84,1.0,1,1.8370629370629372,38.80611999999999,0.0
85,1.0,1,0.2202797202797203,-95.20048,0.0
86,1.0,1,0.4888111888111888,42.405759999999994,0.0
87,1.0,1,0.5643356643356643,-41.60584,0.0
88,1.0,1,0.6902097902097902,-25.607439999999997,0.0
89,1.0,1,1.2132867132867133,-71.80282,0.0
90,1.0,1,2.1587412587412587,-0.01,0.0
91,1.0,1,1.4034965034965037,-6.20938000000001,0.0
92,1.0,1,2.513986013986014,-64.20358,0.0
93,1.0,1,0.4636363636363636,9.0091,0.0
94,1.0,1,0.3769230769230769,91.0009,0.0
95,1.0,5,0.8440559440559441,96.20038,0.0
96,1.0,1,2.558741258741259,65.40346,0.0
97,1.0,1,0.9755244755244755,-4.2095800000000025,0.0
98,1.0,1,0.3181818181818182,5.209479999999999,0.0
99,1.0,1,0.9671328671328671,75.80242,0.0
100,1.0,1,0.41048951048951055,69.80302,0.0
101,1.0,1,1.4594405594405595,62.0038,0.0
102,1.0,1,2.8384615384615386,-86.0014,0.0
103,1.0,1,2.0804195804195804,-44.0056,0.0
104,1.0,1,1.8818181818181818,25.0075,0.0
105,1.0,1,0.8636363636363636,-28.207180000000008,0.0
106,1.0,1,0.10279720279720281,-69.20308,0.0
107,1.0,1,1.6776223776223778,81.80182,0.0
108,1.0,1,1.2916083916083918,-82.20178,0.0
109,1.0,1,2.225874125874126,-26.007400000000004,0.0
110,1.0,1,2.4664335664335666,75.40246,0.0
111,1.0,1,1.6664335664335665,-88.40116,0.0
112,1.0,1,0.1195804195804196,22.40776,0.0
113,1.0,1,2.2034965034965035,98.20018,0.0
114,1.0,1,1.411888111888112,-72.20278,0.0
115,1.0,1,2.5783216783216782,62.80372,0.0
116,1.0,1,0.8664335664335664,-4.009600000000006,0.0
117,1.0,1,2.70979020979021,9.609039999999998,0.0
118,1.0,1,0.9643356643356643,-34.40656,0.0
119,1.0,1,1.313986013986014,46.60534,0.0
120,1.0,1,2.7181818181818183,85.60144,0.0
121,1.0,1,1.8426573426573427,-21.60784000000001,0.0
122,1.0,1,1.10979020979021,-5.209479999999999,0.0
123,1.0,1,0.48041958041958044,-48.40516,0.0
124,1.0,1,1.4090909090909092,-71.60284,0.0
125,1.0,1,1.7475524475524475,-52.60474,0.0
126,1.0,1,2.0776223776223777,61.803819999999995,0.0
127,1.0,1,2.2846153846153845,-11.208880000000008,0.0
128,1.0,1,2.002097902097902,96.80032,0.0
129,1.0,1,2.611888111888112,83.40166,0.0
130,1.0,1,0.9867132867132867,95.40046,0.0
131,1.0,1,2.304195804195804,-46.40536,0.0
132,1.0,1,1.3727272727272728,-94.20058,0.0
133,1.0,1,2.1923076923076925,99.60004,0.0
134,1.0,1,2.888811188811189,-13.608640000000008,0.0
135,1.0,1,1.9713286713286715,-58.404160000000005,0.0
136,1.0,1,2.2202797202797204,56.60433999999999,0.0
